session_id,reasoning_type,discovery_rate,total_elements,success_rate,element_diversity,usage_concentration,exploration_breadth,repeat_rate,early_success_rate,late_success_rate,performance_decline,max_success_streak,max_failure_streak,plateau_count,avg_success_streak,avg_failure_streak,novel_combination_rate,adaptation_slope,avg_inventory_growth,inventory_growth_variance,cluster
first-principles-session-1,first-principles,0.3624161073825503,58,0.3624161073825503,5.280061755765035,22.0,1.0,0.0,0.54,0.16,0.38,9,14,8,2.391304347826087,4.130434782608695,0.9733333333333334,-0.004359419206747455,0.3624161073825503,0.23107067249223012,1
first_principles_2024,first-principles,0.3266666666666666,53,0.32666666666666666,5.267967156131372,22.0,0.9933333333333333,0.00666666666666671,0.52,0.1,0.42000000000000004,7,18,7,2.0416666666666665,4.208333333333333,0.9933333333333333,-0.004304169113329424,0.3288590604026846,0.220710778793748,1
first_principles_session_001,first-principles,0.3333333333333333,54,0.3333333333333333,5.341234901872666,9.5,1.0,0.0,0.6,0.16,0.43999999999999995,8,27,6,2.272727272727273,4.545454545454546,0.98,-0.003986280894677845,0.33557046979865773,0.2229629295977659,1
first-principles-alchemy-001,first-principles,0.3666666666666666,60,0.36666666666666664,5.277346645977189,26.0,0.9733333333333334,0.026666666666666616,0.5,0.22,0.28,8,10,6,1.8333333333333333,3.1666666666666665,0.96,-0.0030827950675278945,0.37583892617449666,0.24800684653844418,1
123999,first-principles,0.4093959731543624,67,0.40939597315436244,5.448209921691347,27.0,1.0,0.0,0.54,0.3,0.24000000000000005,8,10,6,2.2142857142857144,3.142857142857143,0.98,-0.0020549298030214094,0.4228187919463087,0.27088869870726545,1
789012,systematic,0.3741496598639456,60,0.3741496598639456,5.344104472381674,25.0,0.9933333333333333,0.00666666666666671,0.6,0.26,0.33999999999999997,7,13,7,2.1481481481481484,3.4074074074074074,0.96,-0.002320770832221216,0.37583892617449666,0.24800684653844418,1
456789,systematic,0.4324324324324324,69,0.43243243243243246,5.468785618715855,23.0,1.0,0.0,0.62,0.4,0.21999999999999997,13,12,4,2.129032258064516,2.7096774193548385,0.9866666666666667,-0.0022073346500827446,0.436241610738255,0.2593576865906942,1
847392,systematic,0.3866666666666666,62,0.38666666666666666,5.2807035304623495,27.0,1.0,0.0,0.62,0.16,0.45999999999999996,10,14,8,2.5217391304347827,4.0,0.9866666666666667,-0.0039974910585597635,0.38926174496644295,0.2377370388721229,1
629481,systematic,0.4475524475524475,69,0.44755244755244755,5.09535720772921,34.0,0.9733333333333334,0.026666666666666616,0.6,0.34,0.25999999999999995,11,9,6,2.4482758620689653,2.7241379310344827,0.92,-0.002064004697592486,0.436241610738255,0.2593576865906942,1
123458,systematic,0.2080536912751678,35,0.2080536912751678,4.687180410242839,6.5,1.0,0.0,0.4,0.14,0.26,8,40,7,1.7777777777777777,6.555555555555555,0.9933333333333333,-0.0023888325415042998,0.2080536912751678,0.164767352821945,0
123468,counterfactual,0.2866666666666667,47,0.2866666666666667,5.161678265948422,10.5,1.0,0.0,0.38,0.08,0.3,8,39,6,2.388888888888889,5.944444444444445,0.9933333333333333,-0.0022278866171995962,0.28859060402684567,0.20530606729426604,0
123467,counterfactual,0.3733333333333333,62,0.37333333333333335,5.138239060815003,34.0,1.0,0.0,0.42,0.46,-0.040000000000000036,10,14,8,2.4347826086956523,4.086956521739131,1.0,0.0015707574867880201,0.38926174496644295,0.2645826764560155,1
789312,counterfactual,0.1266666666666666,23,0.12666666666666668,4.298414749162567,2.5,1.0,0.0,0.24,0.04,0.19999999999999998,5,35,7,1.7272727272727273,11.909090909090908,0.94,-0.0014965568782362682,0.12751677852348994,0.11125624971848115,0
847293,counterfactual,0.25,36,0.25,4.62043719947692,9.0,0.9922480620155039,0.007751937984496138,0.5,0.1,0.4,3,26,5,1.5714285714285714,4.571428571428571,0.9844961240310077,-0.005200054099136665,0.25,0.1875,0
123686,counterfactual,0.3066666666666666,50,0.30666666666666664,5.032809771282985,15.5,1.0,0.0,0.36,0.36,0.0,7,24,7,1.84,4.333333333333333,1.0,4.644210751080623e-05,0.30201342281879195,0.21080131525606954,0
123450,heuristic,0.375,58,0.375,5.042401191290629,25.0,1.0,0.0,0.52,0.34,0.18,12,19,9,3.111111111111111,5.0,0.9452054794520548,-0.001882967754030745,0.3724137931034483,0.23372175980975032,1
562841,heuristic,0.3533333333333333,57,0.35333333333333333,5.1868048204990185,24.0,1.0,0.0,0.46,0.22,0.24000000000000002,9,15,7,1.962962962962963,3.730769230769231,0.9933333333333333,-0.002611968184487272,0.348993288590604,0.22719697310931947,1
909090,heuristic,0.3571428571428571,54,0.35714285714285715,5.165707154525398,29.0,0.9931506849315068,0.006849315068493178,0.62,0.14,0.48,10,17,9,2.4347826086956523,3.9130434782608696,0.9383561643835616,-0.0049177446569178855,0.3448275862068966,0.2259215219976219,1
567821,heuristic,0.4015748031496063,55,0.4015748031496063,5.04326611722064,33.0,1.0,0.0,0.68,0.22,0.4600000000000001,12,15,3,2.24,3.04,0.946969696969697,-0.005152954288375804,0.3893129770992366,0.23774838296136588,1
847329,heuristic,0.3673469387755102,59,0.3673469387755102,5.151882380559976,21.0,1.0,0.0,0.66,0.2,0.46,9,15,8,2.4782608695652173,4.043478260869565,0.9466666666666667,-0.004250787380558376,0.3691275167785235,0.24629521192739068,1
123556,abductive,0.3740458015267175,53,0.37404580152671757,4.7781824783309474,27.0,0.9854014598540146,0.014598540145985384,0.62,0.24,0.38,11,10,4,2.037037037037037,3.037037037037037,0.9197080291970803,-0.003874457214437277,0.3602941176470588,0.23048226643598616,1
123656,abductive,0.3623188405797101,54,0.36231884057971014,4.976649968325185,34.0,1.0,0.0,0.46,0.44,0.020000000000000018,8,11,8,2.380952380952381,4.190476190476191,1.0,0.00025103261643640365,0.36496350364963503,0.23176514465341785,1
123676,abductive,0.4014598540145985,60,0.40145985401459855,5.093474993439623,27.0,1.0,0.0,0.66,0.24,0.42000000000000004,10,14,5,2.590909090909091,3.727272727272727,0.9496402877697842,-0.004479651364678093,0.4057971014492754,0.2556185675278303,1
123687,abductive,0.2133333333333333,36,0.21333333333333335,4.713747384377006,5.75,1.0,0.0,0.42,0.02,0.39999999999999997,8,40,6,1.8823529411764706,6.9411764705882355,0.9866666666666667,-0.003019537714194206,0.21476510067114093,0.1686410522048556,0
123000,abductive,0.463768115942029,69,0.463768115942029,5.199577639186699,29.0,1.0,0.0,0.62,0.44,0.18,12,11,5,2.7916666666666665,3.0833333333333335,0.950354609929078,-0.0012781664193826602,0.4642857142857143,0.2630102040816326,1
